Line no. 	 Token no. 		 Token 		 Lexeme
    105		     891		 Keyword	  struct
    105		     892		 Identifier	      yy
    105		     893		 Identifier	  buffer
    105		     894		 Identifier	   state
    105		     895		 Operator	       *
    105		     896		 Identifier	      YY
    105		     897		 Identifier	  BUFFER
    105		     898		 Identifier	   STATE
    106		     899		 Special symbol	       #
    106		     900		 Identifier	   endif
    107		     901		 Special symbol	       #
    107		     902		 Identifier	  ifndef
    107		     903		 Identifier	      YY
    107		     904		 Identifier	 TYPEDEF
    107		     905		 Identifier	      YY
    107		     906		 Identifier	    SIZE
    107		     907		 Identifier	       T
    107		     908		 Special symbol	       #
    107		     909		 Identifier	  define
    107		     910		 Identifier	      YY
    107		     911		 Identifier	 TYPEDEF
    107		     912		 Identifier	      YY
    107		     913		 Identifier	    SIZE
    107		     914		 Identifier	       T
    107		     915		 Keyword	 typedef
    107		     916		 Identifier	    size
    107		     917		 Identifier	       t
    107		     918		 Identifier	      yy
    107		     919		 Identifier	    size
    107		     920		 Identifier	       t
    108		     921		 Special symbol	       #
    108		     922		 Identifier	   endif
    109		     923		 Keyword	  extern
    109		     924		 Keyword	     int
    109		     925		 Identifier	  yyleng
    111		     926		 Keyword	  extern
    111		     927		 Identifier	    FILE
    111		     928		 Operator	       *
    111		     929		 Identifier	    yyin
    111		     930		 Operator	       *
    111		     931		 Identifier	   yyout
    113		     932		 Special symbol	       #
    113		     933		 Identifier	  define
    113		     934		 Identifier	     EOB
    113		     935		 Identifier	     ACT
    113		     936		 Identifier	 CONTINUE
    113		     937		 Identifier	    SCAN
    113		     938		 Digit		       0
    114		     939		 Special symbol	       #
    114		     940		 Identifier	  define
    114		     941		 Identifier	     EOB
    114		     942		 Identifier	     ACT
    114		     943		 Identifier	     END
    114		     944		 Identifier	      OF
    114		     945		 Identifier	    FILE
    114		     946		 Digit		       1
    115		     947		 Special symbol	       #
    115		     948		 Identifier	  define
    115		     949		 Identifier	     EOB
    115		     950		 Identifier	     ACT
    115		     951		 Identifier	    LAST
    115		     952		 Identifier	   MATCH
    115		     953		 Digit		       2
    117		     954		 Special symbol	       #
    117		     955		 Identifier	  define
    117		     956		 Identifier	      YY
    117		     957		 Identifier	    LESS
    117		     958		 Identifier	  LINENO
    117		     959		 Identifier	       n
    118		     960		 Special symbol	       #
    118		     961		 Identifier	  define
    118		     962		 Identifier	      YY
    118		     963		 Identifier	  LINENO
    118		     964		 Identifier	  REWIND
    118		     965		 Identifier	      TO
    118		     966		 Identifier	     ptr
    120		     967		 Operator	       /
    120		     968		 Operator	       *
    120		     969		 Identifier	  Return
    120		     970		 Identifier	     all
    120		     971		 Identifier	     but
    120		     972		 Identifier	     the
    120		     973		 Identifier	   first
    120		     974		 Identifier	       n
    120		     975		 Identifier	 matched
    120		     976		 Identifier	 characters
    120		     977		 Identifier	    back
    120		     978		 Identifier	      to
    120		     979		 Identifier	     the
    120		     980		 Identifier	   input
    120		     981		 Identifier	  stream
    120		     982		 Operator	       *
    120		     983		 Operator	       /
    121		     984		 Special symbol	       #
    121		     985		 Identifier	  define
    121		     986		 Identifier	  yyless
    121		     987		 Identifier	       n
    122		     988		 Keyword	      do
    123		     989		 Special symbol	       {
    124		     990		 Operator	       /
    124		     991		 Operator	       *
    124		     992		 Identifier	    Undo
    124		     993		 Identifier	 effects
    124		     994		 Identifier	      of
    124		     995		 Identifier	 setting
    124		     996		 Identifier	      up
    124		     997		 Identifier	  yytext
    124		     998		 Operator	       *
    124		     999		 Operator	       /
    125		    1000		 Keyword	     int
    125		    1001		 Identifier	  yyless
    125		    1002		 Identifier	   macro
    125		    1003		 Identifier	     arg
    125		    1004		 Special symbol	       (
    125		    1005		 Identifier	       n
    125		    1006		 Special symbol	       ;
    126		    1007		 Identifier	      YY
    126		    1008		 Identifier	    LESS
    126		    1009		 Identifier	  LINENO
    126		    1010		 Identifier	  yyless
    126		    1011		 Identifier	   macro
    126		    1012		 Identifier	     arg
    126		    1013		 Special symbol	       ;
    127		    1014		 Operator	       *
    127		    1015		 Identifier	      yy
    127		    1016		 Identifier	      cp
    127		    1017		 Special symbol	       (
    127		    1018		 Identifier	      yy
    127		    1019		 Identifier	    hold
    127		    1020		 Keyword	    char
    127		    1021		 Special symbol	       ;
    128		    1022		 Identifier	      YY
    128		    1023		 Identifier	 RESTORE
    128		    1024		 Identifier	      YY
    128		    1025		 Identifier	    MORE
    128		    1026		 Identifier	  OFFSET
    129		    1027		 Special symbol	       (
    129		    1028		 Identifier	      yy
    129		    1029		 Identifier	       c
    129		    1030		 Identifier	     buf
    129		    1031		 Identifier	       p
    129		    1032		 Identifier	      yy
    129		    1033		 Identifier	      cp
    129		    1034		 Identifier	      yy
    129		    1035		 Identifier	      bp
    129		    1036		 Operator	       +
    129		    1037		 Identifier	  yyless
    129		    1038		 Identifier	   macro
    129		    1039		 Identifier	     arg
    129		    1040		 Operator	       -
    129		    1041		 Identifier	      YY
    129		    1042		 Identifier	    MORE
    129		    1043		 Identifier	     ADJ
    130		    1044		 Identifier	      YY
    130		    1045		 Identifier	      DO
    130		    1046		 Identifier	  BEFORE
    130		    1047		 Identifier	  ACTION
    130		    1048		 Operator	       /
    130		    1049		 Operator	       *
    130		    1050		 Identifier	     set
    130		    1051		 Identifier	      up
    130		    1052		 Identifier	  yytext
    130		    1053		 Identifier	   again
    130		    1054		 Operator	       *
    130		    1055		 Operator	       /
    131		    1056		 Special symbol	       }
    132		    1057		 Identifier	   while
    132		    1058		 Special symbol	       (
    132		    1059		 Digit		       0
    132		    1060		 Special symbol	       )
    133		    1061		 Special symbol	       #
    133		    1062		 Identifier	  define
    133		    1063		 Identifier	   unput
    133		    1064		 Identifier	       c
    133		    1065		 Identifier	 yyunput
    133		    1066		 Identifier	       c
    133		    1067		 Special symbol	       (
    133		    1068		 Identifier	  yytext
    133		    1069		 Identifier	     ptr
    133		    1070		 Special symbol	       )
    135		    1071		 Special symbol	       #
    135		    1072		 Identifier	  ifndef
    135		    1073		 Identifier	      YY
    135		    1074		 Identifier	  STRUCT
    135		    1075		 Identifier	      YY
    135		    1076		 Identifier	  BUFFER
    135		    1077		 Identifier	   STATE
    135		    1078		 Special symbol	       #
    135		    1079		 Identifier	  define
    135		    1080		 Identifier	      YY
    135		    1081		 Identifier	  STRUCT
    135		    1082		 Identifier	      YY
    135		    1083		 Identifier	  BUFFER
    135		    1084		 Identifier	   STATE
    135		    1085		 Keyword	  struct
    135		    1086		 Identifier	      yy
    135		    1087		 Identifier	  buffer
    135		    1088		 Identifier	   state
    135		    1089		 Special symbol	       {
    136		    1090		 Identifier	    FILE
    136		    1091		 Operator	       *
    136		    1092		 Identifier	      yy
    136		    1093		 Identifier	   input
    136		    1094		 Identifier	    file
    138		    1095		 Keyword	    char
    138		    1096		 Operator	       *
    138		    1097		 Identifier	      yy
    138		    1098		 Identifier	      ch
    138		    1099		 Identifier	     buf
    138		    1100		 Operator	       /
    138		    1101		 Operator	       *
    138		    1102		 Identifier	   input
    138		    1103		 Identifier	  buffer
    138		    1104		 Operator	       *
    138		    1105		 Operator	       /
    139		    1106		 Keyword	    char
    139		    1107		 Operator	       *
    139		    1108		 Identifier	      yy
    139		    1109		 Identifier	     buf
    139		    1110		 Identifier	     pos
    139		    1111		 Operator	       /
    139		    1112		 Operator	       *
    139		    1113		 Identifier	 current
    139		    1114		 Identifier	 position
    139		    1115		 Identifier	      in
    139		    1116		 Identifier	   input
    139		    1117		 Identifier	  buffer
    139		    1118		 Operator	       *
    139		    1119		 Operator	       /
    141		    1120		 Operator	       /
    141		    1121		 Operator	       *
    141		    1122		 Identifier	    Size
    141		    1123		 Identifier	      of
    141		    1124		 Identifier	   input
    141		    1125		 Identifier	  buffer
    141		    1126		 Identifier	      in
    141		    1127		 Identifier	   bytes
    141		    1128		 Identifier	     not
    141		    1129		 Identifier	 including
